date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right
731433,645.9777,525.9716,709.1663,685.3055,728.3271,-89.0483,286.6394,452.4271,828.8378,1271.9051,362.6329,568.1881
731434,-2390.306,-2532.0548,-2242.9482,-2374.8803,-2344.5852,-3512.805,-2008.3367,-2727.2743,-2404.2418,-1567.9393,-3023.4706,-2291.9941
731435,-851.1712,-823.8896,-808.4741,-861.1536,-860.9253,-757.9818,-740.4995,-805.5129,-923.5647,-945.9339,26.9865,-779.6177
731436,-1833.477,-1681.2672,-1774.0149,-1846.5288,-1751.476,-1862.0275,-1232.7588,-1541.5317,-1839.9693,-1797.9704,-2532.3058,-1693.3592
731437,-434.955,-388.7534,-458.4169,-438.4473,-467.1745,118.0784,-168.557,-208.8195,-464.1841,-1074.8609,-38.0784,-488.1689
731440,2244.8033,2130.9073,2140.8472,2239.7058,2139.5067,3071.9054,1311.4567,1898.3879,2246.9576,1442.2206,2979.4142,2090.9193
731441,457.5669,444.6629,439.7466,411.9858,504.9614,669.2099,384.2367,356.1318,469.5496,262.6318,823.2213,399.7764
731442,-14.0759,-20.7152,-38.7524,-34.5651,-15.1459,42.0183,3.5346,-14.6972,-74.3476,-121.2167,362.6774,-84.5283
731443,-6.7029,-40.4676,12.7331,55.2619,31.5709,85.5162,-88.6018,41.853,-23.9398,-96.7992,-14.0313,-37.5078
731444,-1062.2699,-1056.7652,-974.7189,-928.5427,-1124.1216,-1488.5437,-960.4166,-888.3033,-1110.6154,-434.8602,-1023.4898,-874.6273
731447,-42.9927,-59.7499,-17.0075,62.3992,-167.0295,-377.1984,-62.584,-44.9628,72.1359,329.2279,-901.2677,-1.8125
731448,-147.144,-142.5461,-171.0288,-147.6583,29.2606,173.1418,53.5803,-29.0179,-254.9111,-461.0737,-59.2163,-160.4172
731449,631.6836,575.263,623.9416,631.6811,545.11,838.326,507.312,454.3569,706.884,387.7018,785.2077,681.4935
731450,241.6893,229.815,195.2144,239.4406,231.3903,555.9503,232.4863,199.9221,350.1659,-50.3861,-860.437,169.236
731451,-179.6642,-161.0743,-164.4345,-178.5186,-170.5706,-202.0638,-112.0445,-147.3038,-203.5259,-118.0905,-378.7447,-201.0443
731454,222.0811,183.9967,222.3353,222.7799,253.5571,-0.040532,-34.5751,141.0371,225.664,402.9895,154.6495,217.2607
731455,201.2718,184.8962,150.5015,199.4486,311.4041,667.1383,222.9737,215.2203,50.8039,-134.6135,1086.3013,146.6905
731456,559.6941,447.6332,514.0163,617.0778,508.9862,710.5585,479.9526,381.7295,579.786,493.1442,235.8918,479.937
731457,50.1858,38.4778,63.3371,20.0699,110.2093,-172.8648,-221.1891,13.8166,43.729,160.3239,508.5117,89.5255
731458,-630.4917,-563.3236,-602.8102,-544.602,-641.0853,-810.8776,-553.643,-525.8525,-632.4336,-431.7008,-760.3269,-488.3146
731461,-343.2184,-316.0774,-334.5874,-329.3056,-467.7863,-178.6326,-138.6121,-241.2843,-353.6196,-522.5799,-362.486,-379.1549
731462,1004.3843,935.236,938.019,942.38,1085.3033,1519.8154,766.681,856.0761,1013.1122,526.9084,1611.4611,1047.3071
731463,-26.811,-61.5803,-37.0608,10.0305,-130.3655,30.8875,-118.0917,-84.5138,-16.4438,118.5735,-58.3975,-75.1349
731464,448.8525,405.3465,438.1113,355.0902,420.5543,450.2526,328.4897,345.4917,453.5796,279.528,600.1288,445.177
731465,-801.4326,-689.987,-827.0088,-559.4565,-794.4272,-609.4531,-793.6764,-685.2047,-780.9245,-603.8994,-1308.5532,-813.2216
731468,-113.1302,-117.2342,-106.1999,-123.798,-74.0083,-225.7809,-150.8073,-91.7674,-89.5404,103.0067,-261.6844,-66.1006
731469,708.8243,718.928,678.797,684.9907,629.2214,872.7534,463.8889,632.8307,751.8894,534.787,59.0584,567.321
731470,-144.6021,-102.6559,-131.4441,-201.8657,-171.3689,-225.5971,-116.9556,-126.0963,-139.421,-54.3505,-125.2211,-21.4409
731471,591.0797,552.1402,598.0444,354.6358,503.0181,528.2601,301.7054,555.8693,587.7237,519.9125,756.3412,619.7049
731472,-474.8105,-305.8892,-577.5591,123.1746,-382.935,218.0021,2.5,-504.319,-368.3119,-415.3635,-1501.2823,-426.4159
731475,1446.9676,1446.6152,1310.9692,1360.1852,1487.3991,1771.0803,1511.9747,1213.1786,1375.4803,1230.1206,866.917,1452.0435
731476,-232.9188,-292.9552,-199.9066,-116.5333,-363.2452,284.175,-176.7821,-124.9336,-162.5066,-524.1556,13.1502,-362.6152
731477,706.7,624.8515,704.0056,794.272,616.8121,737.2632,549.4973,666.7414,743.1317,390.3785,1155.2378,649.3075
731478,1098.2722,1141.2324,1125.9789,1206.3939,807.195,1629.8545,906.975,1006.2443,1104.4698,436.0417,1559.3329,1078.2728
731479,834.1784,966.2654,799.7204,506.1967,969.9763,663.5161,1581.9343,556.5616,879.8753,889.3075,374.2996,815.6714
731482,1242.4125,1155.4633,1140.5189,1150.7815,1179.9392,1631.1142,1434.2262,919.9053,1243.7682,769.799,697.606,1121.7127
731483,825.2871,802.2219,825.0198,819.2571,654.2999,1113.7696,669.0319,723.4062,860.7329,328.4528,1071.0136,716.7693
731484,-545.9939,-508.4979,-483.2994,-338.6429,-394.7301,-646.334,-402.4773,-626.9323,-568.9217,-347.6904,-968.746,-435.4176
731485,-158.1541,-194.1872,-159.8211,-6.7979,-113.0063,392.5584,-115.0158,-49.5089,-161.3765,-258.056,-96.5094,-133.2541
731486,812.8276,774.8697,769.4396,634.4787,707.3133,906.59,760.882,767.2196,845.6294,567.8583,1109.3925,687.1408
731489,878.7199,758.4996,906.6164,847.3077,675.9699,602.2255,236.9665,549.3887,918.1685,964.6302,1095.7749,884.2911
731490,-662.7311,-526.1983,-557.5814,-855.0785,-639.106,-1434.6522,-839.8127,-579.5906,-743.9899,-257.8145,-820.0663,-435.433
731491,137.6043,148.5319,153.5574,82.0178,122.2492,333.5511,53.0263,188.0017,131.7087,20.5503,179.9847,161.9821
731492,254.3294,264.0425,259.1775,256.9172,178.3682,337.1796,387.3664,254.4876,246.891,138.3436,298.127,271.314
731493,-447.1584,-412.7705,-440.8917,-423.8978,-574.3912,-715.5537,-506.2516,-396.3752,-422.2454,-218.3776,-791.6659,-441.8388
731496,1310.5768,1381.6481,1317.8897,1021.0454,1303.2541,1151.7395,1246.3104,1146.3757,1344.0462,1220.0362,1253.7141,1378.645
