Date,Price,Open,High,Low,Change %
2002/11/5,1.5628,1.5578,1.5675,1.5556,0.33%
2002/11/6,1.5635,1.5629,1.5654,1.556,0.04%
2002/11/7,1.5798,1.5643,1.5817,1.5624,1.04%
2002/11/8,1.5916,1.58,1.5934,1.5784,0.75%
2002/11/11,1.5873,1.5899,1.597,1.5856,-0.27%
2002/11/12,1.5897,1.5873,1.5927,1.5836,0.15%
2002/11/13,1.5863,1.5899,1.5901,1.5843,-0.21%
2002/11/14,1.5794,1.5858,1.5897,1.5778,-0.43%
2002/11/15,1.5802,1.5787,1.5817,1.573,0.05%
2002/11/18,1.5816,1.5793,1.583,1.5777,0.09%
2002/11/19,1.5808,1.5816,1.5915,1.5772,-0.05%
2002/11/20,1.5712,1.5809,1.5831,1.5706,-0.61%
2002/11/21,1.5821,1.5716,1.5823,1.5707,0.69%
2002/11/22,1.5802,1.5814,1.585,1.5772,-0.12%
2002/11/25,1.5645,1.5785,1.5792,1.5629,-0.99%
2002/11/26,1.5523,1.5651,1.5666,1.5457,-0.78%
2002/11/27,1.5473,1.5523,1.5542,1.5412,-0.32%
2002/11/28,1.5514,1.5472,1.555,1.5449,0.26%
2002/11/29,1.5571,1.551,1.5587,1.5472,0.37%
2002/12/2,1.5581,1.5568,1.5591,1.545,0.06%
2002/12/3,1.5698,1.5589,1.5719,1.5553,0.75%
2002/12/4,1.5704,1.5703,1.5763,1.5675,0.04%
2002/12/5,1.5716,1.57,1.574,1.5663,0.08%
2002/12/6,1.5764,1.5709,1.58,1.5678,0.31%
2002/12/9,1.5795,1.5776,1.58,1.5748,0.20%
2002/12/10,1.5707,1.5796,1.5838,1.5682,-0.56%
2002/12/11,1.5771,1.5715,1.5779,1.5689,0.41%
2002/12/12,1.582,1.5776,1.5826,1.5726,0.31%
2002/12/13,1.5894,1.5818,1.5912,1.5773,0.47%
2002/12/16,1.5915,1.5888,1.5938,1.5865,0.13%
2002/12/17,1.5991,1.5913,1.6021,1.5896,0.48%
2002/12/18,1.6022,1.5992,1.6031,1.5957,0.19%
