date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value
736344,508897976.1904,497175614.1065,749144071.9104,493175692.3795,517388941.7442,480470640.5288,521834941.4149,462458146.6784,527380489.9082,479606667.5224,457537778.1809
736347,508436255.671,496695402.8801,748573619.137,492881502.8206,516981298.4067,479838752.2623,521137340.3234,462041482.0985,526900418.4407,479124023.4245,457101392.5428
736348,507882937.5873,496179231.2245,745151099.2083,492325397.6148,516562708.4538,479255451.4565,520281961.0086,461463569.0436,526340609.0903,478674301.0715,456459610.6622
736349,509291942.0083,497315165.1787,749105006.49,493374452.8556,517575527.6073,481348462.5288,521045741.1255,462731501.6847,527514807.3598,478616338.4823,457840955.6193
736350,505778161.3593,494082119.3034,743748689.4267,489637431.0755,514227486.6743,477431077.9428,518373971.6943,459343553.7998,524159292.3417,475647020.2689,454574253.5432
736351,499457611.3751,488064939.2611,729829557.3885,483358373.8801,507999417.946,472386224.7478,514341374.367,453369144.4776,517798512.404,469806945.9426,449116427.1158
736354,501075680.3992,489620431.8864,731335246.3632,484935435.962,509144252.5082,475055959.2202,514626249.7845,455441056.046,519239432.4755,471187137.0785,450440580.4979
736355,499744679.0409,488272438.9039,730253539.1251,483524522.2505,508006911.2302,472710954.005,513826061.0824,454002076.7359,518006948.081,470432486.4431,448543905.5418
736356,502468700.1506,490862193.5272,734705585.936,486195637.8105,510651781.0395,473970038.1904,515515336.1713,456557303.09,520671169.0931,473525589.1405,450909248.0537
736357,500649291.4777,489164254.3637,737475163.5202,484425535.1992,509176684.4486,470580831.9482,513605868.7934,454743728.5229,518957436.7497,472256123.009,448686507.862
736358,500122685.8668,488633512.3312,742863401.6711,484135951.7703,508144993.134,470350839.2239,512825988.3734,454134178.2542,518526150.8394,471877268.0136,448637025.4421
736361,499136143.9167,487643481.6519,741597837.5415,483041012.7567,506474509.625,470383358.9293,511973280.5788,453083698.3132,517665159.6525,470102248.6723,447395664.9712
736362,497120438.7877,485286949.2505,731753062.5441,480836278.09,505150454.2755,469689819.7757,509793575.1119,452553401.8586,515074317.5579,466985175.3735,445558484.2253
736363,494656264.4546,483407174.5247,727301654.6474,478210395.8584,502779736.7292,464867937.539,508720124.0128,449756831.0281,512940716.8719,466871404.7158,442131695.8531
736364,496128623.716,485370814.2072,739945703.9832,479264701.1561,504126908.4579,466435372.4312,510669892.6778,450754480.3033,514773032.1588,468876420.4558,443106586.6767
736365,495442218.9422,484570733.2249,736988292.8241,479105099.7388,503011452.5656,466783793.5416,509509004.1417,449447278.6058,514101965.4856,467348395.5959,443420337.5838
736368,495814169.8762,485004411.9657,737103772.2621,479195658.2108,503175819.3259,467706118.753,509177248.2873,449807892.978,514322711.4228,467207434.72,443964269.461
736369,499191713.0257,488515340.5462,740245139.9673,482029726.7757,505799094.2377,470804673.5502,512615112.8514,452358961.2168,517898131.6541,470216241.212,445893416.5598
736370,502325001.4112,491738727.5604,749124374.3833,484659806.6715,508453740.4019,473272535.3331,514601218.9701,455236316.3919,521117452.16,473767341.2738,447796341.9434
736371,505090679.1477,494308603.6114,748531968.0536,487127282.5866,510605067.1794,475781288.1485,516103204.383,457692440.7965,523750666.4206,475302703.7119,450647277.4655
736372,497284648.4976,487064767.3487,737895421.7314,479364989.489,505487072.3638,468826068.7097,510278985.7626,450730991.2133,515533479.3886,468300785.2144,443741598.4867
736375,494734233.6538,484424380.4136,741877805.6111,477446281.4811,503386361.7249,467038186.1029,507608245.4853,448283342.7107,512843280.6246,465672659.3927,441637361.0246
736376,493743174.0698,482964249.5976,736601393.1769,476949773.5115,502039927.0227,466178111.9096,506386736.7793,447277615.0271,511622688.6299,464612616.2445,441434923.4818
